TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
CR 59549 - Suspension cross fixing - EPM 1369,01/03/2024,30/06/2024,BAJA,FINALIZADO
CR 59413 - Front Steel Bumper Headlights Harness,06/03/2024,26/04/2024,BAJA,FINALIZADO
CR 59615 - Buje barra estabilizadora Tector,01/03/2024,31/12/2024,BAJA,FINALIZADO
58967 - clasificación torque IVE 1404,01/02/2024,30/05/2024,BAJA,FINALIZADO
59028 - Pedana paragolpe floja,10/01/2024,27/06/2024,BAJA,FINALIZADO
59298 - TOP 14 Faro de giro paragolpe,28/12/2023,01/08/2024,BAJA,FINALIZADO
CR 59616 - Regularizacion tuberias de UREA CURSOR C9 - EPM 1422,01/04/2024,28/06/2024,BAJA,FINALIZADO
CR 59708 - OK to sell 8x4 EV Argentina,01/04/2024,27/12/2024,BAJA,FINALIZADO
CR 58162 - proteccion de muffler tector,22/04/2024,28/06/2024,BAJA,FINALIZADO
CR 59882 - Nacionalización llanta 9-11 Ton,15/04/2024,15/04/2025,BAJA,FINALIZADO
CR 59322,01/03/2024,30/04/2024,BAJA,FINALIZADO
CR 59675,01/04/2024,25/08/2024,BAJA,FINALIZADO
CR 59298,01/03/2024,04/08/2024,BAJA,FINALIZADO
CR 59290,10/04/2024,30/06/2024,BAJA,FINALIZADO
CR 55393,01/04/2024,04/08/2024,BAJA,FINALIZADO
55 años,01/04/2024,07/09/2024,BAJA,FINALIZADO
59614 - Phase out llanta R20 Maxion Whell,25/03/2024,28/06/2024,BAJA,FINALIZADO
CR 59882 - Localización llantas 9 /11Tn,01/04/2024,01/04/2025,BAJA,FINALIZADO
CR 59728 - HI LAND sidemembers design update with PMC,01/02/2024,31/12/2024,BAJA,FINALIZADO
CR 60067 - DRL en luces delanteras heavy,22/05/2024,28/06/2024,BAJA,FINALIZADO
59896 - Correccion diseño Cardan fijo Hi Road C9,23/05/2024,31/10/2024,BAJA,FINALIZADO
59892 - IVE1160 Arandela pasamuro,23/05/2024,01/01/2025,BAJA,FINALIZADO
CR 59972 - Flexible tuberia Bus GNC,27/05/2024,27/07/2024,BAJA,FINALIZADO
CR 59018 - Actualización diseño amortiguadores 15 TON,29/05/2023,29/05/2024,BAJA,FINALIZADO
CR 59945 - Unificacion abrazaderas,30/05/2024,30/11/2024,BAJA,FINALIZADO
CR 59997 - EPM regularizaciones neumaticas,30/05/2024,31/10/2024,BAJA,FINALIZADO
CR 54780 Modifica primer vidrio y techo.,03/06/2024,31/08/2024,BAJA,FINALIZADO
CR 59716 - Protección conector ST88,14/03/2024,06/09/2024,BAJA,FINALIZADO
CR 60179 - ARG343 Rotura de espárragos Bus y Tector GNC,01/06/2024,01/06/2025,BAJA,FINALIZADO
CR 60082,01/07/2024,01/10/2024,BAJA,FINALIZADO
CR 59892,01/07/2024,01/11/2024,BAJA,FINALIZADO
60101 - Extension Bumper Screw - IVE 1478,11/06/2024,27/12/2024,BAJA,FINALIZADO
CR 60110 - Phase out medidor combustible,03/06/2024,27/12/2024,BAJA,FINALIZADO
CR 58110 - corrección de tapones medium,03/07/2024,31/08/2024,BAJA,FINALIZADO
CR 60070 - 7-pole trailer connection,04/07/2024,27/12/2024,BAJA,FINALIZADO
CR 59715 - C9 muffler warning,29/04/2024,27/06/2025,BAJA,FINALIZADO
CR 59919 - Muffler metal band nationalization,01/05/2024,30/04/2025,BAJA,FINALIZADO
58401,25/07/2024,31/10/2024,BAJA,FINALIZADO
CR 60513 - Esquemas electricos Heavy,26/07/2024,04/10/2024,BAJA,FINALIZADO
CR 60352 - Protector de calor BUS/TECTOR GNC,01/07/2024,31/12/2024,BAJA,FINALIZADO
CR 58546 - Soporte estribos/ Falso FUP,02/01/2024,31/01/2025,BAJA,FINALIZADO
CR 59960 - HI WAY 55 AÑOS,04/03/2024,30/12/2024,BAJA,FINALIZADO
CR 60191 -  Actualización esquema triple cortacorriente aftermarket,05/08/2024,06/09/2024,BAJA,FINALIZADO
CR 60309 - bus gnc 3 puertaas,08/08/2024,01/11/2024,BAJA,FINALIZADO
CR 60083 - Interferencia tuberia de calefacción de urea,01/07/2024,30/08/2024,BAJA,FINALIZADO
CR 60063 - Phase out SNORKEL,01/07/2024,30/06/2025,BAJA,FINALIZADO
58858 - Front Grill Swicht support,01/04/2024,10/01/2025,BAJA,FINALIZADO
CR 60206 - PCO Neumatico Michelin,01/07/2024,29/11/2024,BAJA,FINALIZADO
CR 60349 - IVE1512 Soporte int con serpentina 4x2 SN,04/06/2024,29/11/2024,BAJA,FINALIZADO
CR 58740 Asientos Grammer para Argentina,01/08/2024,31/10/2024,BAJA,FINALIZADO
CR 58160 Direction Plug breaks,01/08/2024,31/10/2024,BAJA,FINALIZADO
CR 60351 - Cambio abrazadera escape BUS,01/08/2024,01/09/2025,BAJA,FINALIZADO
